Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/connect-data/service-publish-from-excel.md,Publish to Power BI from Microsoft Excel - Power BI,944.0,> 365 days,2024-07-19,
powerbi-docs/developer/visuals/enable-sync-slicers.md,Enable the Sync Slicers feature in Power BI visuals - Power BI,936.0,> 365 days,2023-12-02,
powerbi-docs/guidance/power-query-referenced-queries.md,Referencing Power Query queries - Power BI,935.0,271-365 days,2024-12-30,
powerbi-docs/paginated-reports/paginated-reports-download-rdl.md,Create a paginated report from a Power BI report or dataset - Power BI,924.0,> 365 days,2023-01-11,
powerbi-docs/developer/visuals.md,Power BI visuals documentation - Power BI,924.0,> 365 days,,
powerbi-docs/developer/embedded/power-bi-playground.md,What is the Power BI embedded analytics playground - Power BI,922.0,> 365 days,2024-03-03,
powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-managed-self-service-bi.md,Power BI usage scenarios: Managed self-service BI - Power BI,917.0,271-365 days,2024-12-30,
powerbi-docs/connect-data/incremental-refresh-troubleshoot.md,Troubleshoot incremental refresh and real-time data - Power BI,907.0,> 365 days,2024-04-26,
powerbi-docs/report-server/scheduled-refresh.md,Power BI report scheduled refresh in Power BI Report Server - Power BI,903.0,> 365 days,2021-05-18,
powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-overview.md,Power BI usage scenarios - Power BI,869.0,271-365 days,2024-12-30,
powerbi-docs/create-reports/desktop-set-visual-query-limits.md,Set visual query limits in Power BI Desktop - Power BI,863.0,> 365 days,2023-05-23,
powerbi-docs/guidance/fabric-adoption-roadmap-governance.md,Microsoft Fabric adoption roadmap: Governance - Power BI,859.0,271-365 days,2024-12-30,
powerbi-docs/visuals/service-r-visuals.md,Create advanced analytics and visualizations using R scripts - Power BI,855.0,> 365 days,2024-02-20,
powerbi-docs/connect-data/service-datasets-copy-reports.md,Copy reports from other apps or workspaces - Power BI,848.0,> 365 days,2023-07-20,
powerbi-docs/guidance/fabric-adoption-roadmap-center-of-excellence.md,Microsoft Fabric adoption roadmap: Center of Excellence - Power BI,839.0,271-365 days,2024-12-30,
powerbi-docs/natural-language/q-and-a-data-sources.md,Data sources for natural language Q&A - Power BI,836.0,271-365 days,2024-12-10,
powerbi-docs/report-server/row-level-security-report-server.md,Row-level security (RLS) in Power BI Report Server - Power BI,834.0,> 365 days,2024-01-16,
powerbi-docs/paginated-reports/parameters/paginated-reports-create-parameters.md,Create parameters for paginated reports in Power BI Report Builder - Power BI,834.0,> 365 days,2024-06-25,
powerbi-docs/create-reports/desktop-visual-elements-for-reports.md,Use visual elements to enhance Power BI reports - Power BI,832.0,> 365 days,2024-07-25,
powerbi-docs/report-server/upgrade.md,Upgrade Power BI Report Server - Power BI,828.0,> 365 days,2022-01-06,
powerbi-docs/paginated-reports/paginated-reports-faq.md,Paginated reports in Power BI: FAQ - Power BI,812.0,> 365 days,2024-10-18,
powerbi-docs/create-reports/power-bi-report-filter.md,Format filters in Power BI reports - Power BI,810.0,> 365 days,2023-01-10,
powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-embed-for-your-customers.md,Power BI usage scenarios: Embed for your customers - Power BI,799.0,271-365 days,2024-12-30,
powerbi-docs/create-reports/service-interact-quick-report.md,"Interact with autogenerated ""quick"" reports in the Power BI service - Power BI",799.0,> 365 days,2022-09-21,
powerbi-docs/guidance/relationships-one-to-one.md,One-to-one relationship guidance - Power BI,799.0,271-365 days,2024-12-27,
powerbi-docs/guidance/monitor-report-performance.md,Monitor report performance in Power BI - Power BI,788.0,271-365 days,2024-12-30,
powerbi-docs/connect-data/service-datasets-discover-across-workspaces.md,Create reports based on semantic models from different workspaces - Power BI,788.0,> 365 days,2024-07-15,
powerbi-docs/guidance/powerbi-implementation-planning-workspaces-workspace-level-planning.md,Implementation Planning: Workspace-Level Workspaces - Power BI,779.0,271-365 days,2024-12-30,
powerbi-docs/collaborate-share/service-endorse-content.md,Endorse your content - Power BI,773.0,> 365 days,2024-07-23,
powerbi-docs/visuals/power-bi-visualization-column-chart-format-settings.md,Column chart format settings - Power BI,771.0,> 365 days,2024-10-18,
powerbi-docs/create-reports/power-bi-customize-button.md,Customize buttons in Power BI reports - Power BI,766.0,271-365 days,2024-12-20,
powerbi-docs/paginated-reports/parameters/report-builder-parameters.md,Report parameters in Power BI Report Builder - Power BI,761.0,> 365 days,2023-02-16,
